chieu_dai_canh_hoa,chieu_rong_canh_hoa,mui_huong,mau_sac,loai_hoa
5.1,1.4,Thom,Do,Hoa hong
5.2,1.5,Thom,Do,Hoa hong
5.0,1.3,Thom,Do,Hoa hong
5.3,1.6,Thom,Do,Hoa hong
5.4,1.5,Thom,Do,Hoa hong
5.1,1.4,Thom,Hong,Hoa hong
5.2,1.3,Thom,Hong,Hoa hong
5.0,1.5,Thom,Hong,Hoa hong
5.3,1.4,Thom,Do,Hoa hong
5.4,1.6,Thom,Hong,Hoa hong
6.0,3.8,Thom nhe,Vang,Hoa cuc
6.2,4.0,Thom nhe,Vang,Hoa cuc
6.1,3.9,Thom nhe,Vang,Hoa cuc
6.3,4.1,Thom nhe,Vang,Hoa cuc
6.4,4.2,Thom nhe,Vang,Hoa cuc
6.0,4.1,Thom nhe,Vang,Hoa cuc
6.2,3.9,Thom nhe,Vang,Hoa cuc
6.1,4.2,Thom nhe,Vang,Hoa cuc
6.3,4.0,Thom nhe,Vang,Hoa cuc
6.4,4.1,Thom nhe,Vang,Hoa cuc
7.0,5.0,Thom,Trang,Hoa ly
7.2,5.2,Thom,Trang,Hoa ly
7.1,5.1,Thom,Trang,Hoa ly
7.3,5.3,Thom,Trang,Hoa ly
7.4,5.4,Thom,Trang,Hoa ly
7.0,5.2,Thom,Trang,Hoa ly
7.2,5.0,Thom,Trang,Hoa ly
7.1,5.3,Thom,Trang,Hoa ly
7.3,5.1,Thom,Trang,Hoa ly
7.4,5.2,Thom,Trang,Hoa ly
